accuracy,loss,val_accuracy,val_loss
0.3094642758369446,1.713484525680542,0.443452388048172,1.4857549667358398
0.46767857670783997,1.4416447877883911,0.4479166567325592,1.474938154220581
0.5117856860160828,1.331210732460022,0.5252976417541504,1.376993179321289
0.5287500023841858,1.2732484340667725,0.5580357313156128,1.218239426612854
0.5476785898208618,1.2421256303787231,0.5669642686843872,1.1705539226531982
0.5628571510314941,1.1994085311889648,0.5773809552192688,1.1540709733963013
0.5817857384681702,1.1363049745559692,0.605654776096344,1.1146366596221924
0.600178599357605,1.0838817358016968,0.5892857313156128,1.0885369777679443
0.602142870426178,1.0858330726623535,0.6264880895614624,1.0232373476028442
0.6226785778999329,1.0219987630844116,0.6041666865348816,1.0249557495117188
0.6316071152687073,1.0195176601409912,0.636904776096344,0.9809296727180481
0.6516071557998657,0.9832094311714172,0.6413690447807312,0.9962116479873657
0.6473214030265808,0.9728821516036987,0.6904761791229248,0.9084488749504089
0.658214271068573,0.9512650966644287,0.6726190447807312,0.8975266814231873
0.668571412563324,0.9243932366371155,0.6696428656578064,0.8880391716957092
0.6662499904632568,0.92424476146698,0.7038690447807312,0.860393226146698
0.6719642877578735,0.9192361831665039,0.6934523582458496,0.7803770899772644
0.6821428537368774,0.8741372227668762,0.7098214030265808,0.8396015167236328
0.6926785707473755,0.8383476734161377,0.7023809552192688,0.8575822114944458
0.6816071271896362,0.8682118654251099,0.7127976417541504,0.8385198712348938
