,precision,recall,f1-score,support
bug,0.8732394366197183,0.5166666666666667,0.6492146596858639,120.0
electric,0.9661016949152542,0.4318181818181818,0.5968586387434555,132.0
fire,0.8931297709923665,0.7048192771084337,0.7878787878787878,166.0
flying,0.788135593220339,0.4603960396039604,0.58125,202.0
grass,0.8918918918918919,0.6407766990291263,0.7457627118644068,103.0
ground,0.6956521739130435,0.4247787610619469,0.5274725274725275,113.0
normal,0.7876712328767124,0.515695067264574,0.6233062330623306,223.0
poison,0.816793893129771,0.5879120879120879,0.6837060702875399,182.0
psychic,0.7938144329896907,0.5833333333333334,0.6724890829694323,132.0
water,0.7796610169491526,0.575,0.6618705035971223,160.0
micro avg,0.8224852071005917,0.5440313111545988,0.6548881036513545,1533.0
macro avg,0.8286091137497941,0.5441196113798311,0.6529809215561466,1533.0
weighted avg,0.8245838811500905,0.5440313111545988,0.6519302462384114,1533.0
samples avg,0.57125,0.5525,0.5551666666666667,1533.0
