Metric,Micro Avg,Macro Avg,Weighted Avg
Precision,0.8224852071005917,0.8286091137497941,0.8245838811500905
Recall,0.5440313111545988,0.5441196113798311,0.5440313111545988
F1 Score,0.6548881036513545,0.6529809215561466,0.6519302462384114
